Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
51	375	0	0.570696989	0	0	0	0	0	0	0	0	0	0	3
52	382	0	0.581887126	0	0	0	0	0	0	0	0	0	0	3
53	389	0	0.593077263	0	0	0	0	0	0	0	0	0	0	3
54	396	0	0.6042674	0	0	0	0	0	0	0	0	0	0	3
55	403	0	0.615457537	0	0	0	0	0	0	0	0	0	0	3
56	410	0	0.626647674	0	0	0	0	0	0	0	0	0	0	3
57	417	0	0.637837811	0	0	0	0	0	0	0	0	0	0	3
58	424	0	0.649027948	0	0	0	0	0	0	0	0	0	0	3
59	431	0	0.660218085	0	0	0	0	0	0	0	0	0	0	3
60	438	0	0.671408222	0	0	0	0	0	0	0	0	0	0	3
61	445	0	0.682598359	0	0	0	0	0	0	0	0	0	0	3
62	452	0	0.693788496	0	0	0	0	0	0	0	0	0	0	3
63	459	0	0.704978633	0	0	0	0	0	0	0	0	0	0	3
64	467	0	0.71616877	0	0	0	0	0	0	0	0	0	0	3
65	474	0	0.727358907	0	0	0	0	0	0	0	0	0	0	3
66	480	0	0.738549044	0	0	0	0	0	0	0	0	0	0	3
67	488	0	0.749739182	0	0	0	0	0	0	0	0	0	0	3
68	495	0	0.760929319	0	0	0	0	0	0	0	0	0	0	3
69	502	0	0.772119456	0	0	0	0	0	0	0	0	0	0	3
70	509	0	0.783309593	0	0	0	0	0	0	0	0	0	0	3
71	516	0	0.79449973	0	0	0	0	0	0	0	0	0	0	3
72	523	0	0.805689867	0	0	0	0	0	0	0	0	0	0	3
73	530	0	0.816880004	0	0	0	0	0	0	0	0	0	0	3
74	537	0	0.828070141	0	0	0	0	0	0	0	0	0	0	3
75	544	0	0.839260278	0	0	0	0	0	0	0	0	0	0	3
76	551	0	0.850450415	0	0	0	0	0	0	0	0	0	0	3
77	558	0	0.861640552	0	0	0	0	0	0	0	0	0	0	3
78	565	0	0.872830689	0	0	0	0	0	0	0	0	0	0	3
79	572	0	0.884020826	0	0	0	0	0	0	0	0	0	0	3
80	579	0	0.895210963	0	0	0	0	0	0	0	0	0	0	3
81	586	0	0.9064011	0	0	0	0	0	0	0	0	0	0	3
82	593	0	0.917591237	0	0	0	0	0	0	0	0	0	0	3
83	600	0	0.928781374	0	0	0	0	0	0	0	0	0	0	3
84	607	0	0.939971511	0	0	0	0	0	0	0	0	0	0	3
85	614	0	0.951161648	0	0	0	0	0	0	0	0	0	0	3
86	621	0	0.962351785	0	0	0	0	0	0	0	0	0	0	3
87	628	0	0.973541922	0	0	0	0	0	0	0	0	0	0	3
88	635	0	0.984732059	0	0	0	0	0	0	0	0	0	0	3
89	642	0	0.995922196	0	0	0	0	0	0	0	0	0	0	3
90	649	0	1.00711233	0	0	0	0	0	0.001	0	0	0	0	3
91	656	0	1.01830247	0	0	0	0	0	0.001	0	0	0	0	3
92	663	0	1.02949261	0	0	0	0	0	0.001	0	0	0	0	3
93	670	0	1.04068274	0	0	0	0	0	0.001	0	0	0	0	3
94	677	0	1.05187288	0	0	0	0	0	0.001	0	0	0	0	3
95	684	0	1.06306302	0	0	0	0	0	0.001	0	0	0	0	3
96	691	0	1.07425316	0	0	0	0	0	0.001	0	0	0	0	3
97	698	0	1.08544329	0	0	0	0	0	0.001	0	0	0	0	3
98	704	0	1.09663343	0	0	0	0	0	0.001	0	0	0	0	3
99	711	0	1.10782357	0	0	0	0	0	0.001	0	0	0	0	3
100	718	0	1.1190137	0	0	0	0	0	0.001	0	0	0	0	3
101	727	0	1.13020384	0	0	0	0	0	0.001	0	0	0	0	3
102	734	0	1.14139398	0	0	0	0	0	0.001	0	0	0	0	3
103	741	0	1.15258411	0	0	0	0	0	0.001	0	0	0	0	3
104	748	0	1.16377425	0	0	0	0	0	0.001	0	0	0	0	3
105	755	0	1.17496439	0	0	0	0	0	0.001	0	0	0	0	3
106	762	0	1.18615453	0	0	0	0	0	0.001	0	0	0	0	3
107	769	0	1.19734466	0	0	0	0	0	0.001	0	0	0	0	3
108	776	0	1.2085348	0	0	0	0	0	0.001	0	0	0	0	3
109	783	0	1.21972494	0	0	0	0	0	0.001	0	0	0	0	3
110	790	0	1.23091507	0	0	0	0	0	0.001	0	0	0	0	3
111	796	0	1.24210521	0	0	0	0	0	0.001	0	0	0	0	3
112	804	0	1.25329535	0	0	0	0	0	0.001	0	0	0	0	3
113	811	0	1.26448549	0	0	0	0	0	0.001	0	0	0	0	3
114	817	0	1.27567562	0	0	0	0	0	0.001	0	0	0	0	3
115	824	0	1.28686576	0	0	0	0	0	0.001	0	0	0	0	3
116	831	0	1.2980559	0	0	0	0	0	0.001	0	0	0	0	3
117	838	0	1.30924603	0	0	0	0	0	0.001	0	0	0	0	3
118	845	0	1.32043617	0	0	0	0	0	0.001	0	0	0	0	3
119	852	0	1.33162631	0	0	0	0	0	0.001	0	0	0	0	3
120	859	0	1.34281644	0	0	0	0	0	0.001	0	0	0	0	3
121	866	0	1.35400658	0	0	0	0	0	0.001	0	0	0	0	3
122	872	0	1.36519672	0	0	0	0	0	0.001	0	0	0	0	3
123	879	0	1.37638686	0	0	0	0	0	0.001	0	0	0	0	3
124	886	0	1.38757699	0	0	0	0	0	0.001	0	0	0	0	3
125	893	0	1.39876713	0	0	0	0	0	0.001	0	0	0	0	3
126	900	0	1.40995727	0	0	0	0	0	0.001	0	0	0	0	3
127	907	0	1.4211474	0	0	0	0	0	0.001	0	0	0	0	3
128	914	0	1.43233754	0	0	0	0	0	0.001	0	0	0	0	3
129	920	0	1.44352768	0	0	0	0	0	0.001	0	0	0	0	3
130	927	0	1.45471781	0	0	0	0	0	0.001	0	0	0	0	3
131	934	0	1.46590795	0	0	0	0	0	0.001	0	0	0	0	3
132	941	0	1.47709809	0	0	0	0	0	0.001	0	0	0	0	3
133	948	0	1.48828823	0	0	0	0	0	0.001	0	0	0	0	3
134	955	0	1.49947836	0	0	0	0	0	0.001	0	0	0	0	3
135	961	0	1.5106685	0	0	0	0	0	0.001	0	0	0	0	3
136	968	0	1.52185864	0	0	0	0	0	0.001	0	0	0	0	3
137	975	0	1.53304877	0	0	0	0	0	0.001	0	0	0	0	3
138	982	0	1.54423891	0	0	0	0	0	0.001	0	0	0	0	3
139	989	0	1.55542905	0	0	0	0	0	0.001	0	0	0	0	3
140	996	0	1.56661919	0	0	0	0	0	0.001	0	0	0	0	3
141	1003	0	1.57780932	0	0	0	0	0	0.001	0	0	0	0	3
142	1010	0	1.58899946	0	0	0	0	0	0.001	0	0	0	0	3
143	1017	0	1.6001896	0	0	0	0	0	0.001	0	0	0	0	3
144	1024	0	1.61137973	0	0	0	0	0	0.001	0	0	0	0	3
145	1030	0	1.62256987	0	0	0	0	0	0.001	0	0	0	0	3
146	1038	0	1.63376001	0	0	0	0	0	0.001	0	0	0	0	3
147	1044	0	1.64495014	0	0	0	0	0	0.001	0	0	0	0	3
148	1051	0	1.65614028	0	0	0	0	0	0.001	0	0	0	0	3
149	1058	0	1.66733042	0	0	0	0	0	0.001	0	0	0	0	3
150	1065	0	1.67852056	0	0	0	0	0	0.001	0	0	0	0	3
151	1072	0	1.68971069	0	0	0	0	0	0.001	0	0	0	0	3
152	1079	0	1.70090083	0	0	0	0	0	0.001	0	0	0	0	3
153	1086	0	1.71209097	0	0	0	0	0	0.001	0	0	0	0	3
154	1093	0	1.7232811	0	0	0	0	0	0.001	0	0	0	0	3
155	1100	0	1.73447124	0	0	0	0	0	0.001	0	0	0	0	3
156	1107	0	1.74566138	0	0	0	0	0	0.001	0	0	0	0	3
157	1114	0	1.75685151	0	0	0	0	0	0.001	0	0	0	0	3
158	1121	0	1.76804165	0	0	0	0	0	0.001	0	0	0	0	3
159	1128	0	1.77923179	0	0	0	0	0	0.001	0	0	0	0	3
160	1135	0	1.79042193	0	0	0	0	0	0.001	0	0	0	0	3
161	1142	0	1.80161206	0	0	0	0	0	0.001	0	0	0	0	3
162	1148	0	1.8128022	0	0	0	0	0	0.001	0	0	0	0	3
163	1155	0	1.82399234	0	0	0	0	0	0.001	0	0	0	0	3
164	1162	0	1.83518247	0	0	0	0	0	0.001	0	0	0	0	3
165	1169	0	1.84637261	0	0	0	0	0	0.001	0	0	0	0	3
166	1176	0	1.85756275	0	0	0	0	0	0.001	0	0	0	0	3
167	1183	0	1.86875289	0	0	0	0	0	0.001	0	0	0	0	3
168	1190	0	1.87994302	0	0	0	0	0	0.001	0	0	0	0	3
169	1197	0	1.89113316	0	0	0	0	0	0.001	0	0	0	0	3
170	1204	0	1.9023233	0	0	0	0	0	0.001	0	0	0	0	3
171	1210	0	1.91351343	0	0	0	0	0	0.001	0	0	0	0	3
172	1217	0	1.92470357	0	0	0	0	0	0.001	0	0	0	0	3
173	1224	0	1.93589371	0	0	0	0	0	0.001	0	0	0	0	3
174	1231	0	1.94708384	0	0	0	0	0	0.001	0	0	0	0	3
175	1238	0	1.95827398	0	0	0	0	0	0.001	0	0	0	0	3
176	1245	0	1.96946412	0	0	0	0	0	0.001	0	0	0	0	3
177	1252	0	1.98065426	0	0	0	0	0	0.001	0	0	0	0	3
178	1259	0	1.99184439	0	0	0	0	0	0.001	0	0	0	0	3
179	1267	0	2.00303453	0	0	0	0	0	0.001	0	0	0	0	3
180	1273	0	2.01422467	0	0	0	0	0	0.001	0	0	0	0	3
181	1280	0	2.0254148	0	0	0	0	0	0.001	0	0	0	0	3
182	1287	0	2.03660494	0	0	0	0	0	0.001	0	0	0	0	3
183	1294	0	2.04779508	0	0	0	0	0	0.001	0	0	0	0	3
184	1301	0	2.05898521	0	0	0	0	0	0.001	0	0	0	0	3
185	1308	0	2.07017535	0	0	0	0	0	0.001	0	0	0	0	3
186	1315	0	2.08136549	0	0	0	0	0	0.001	0	0	0	0	3
187	1322	0	2.09255563	0	0	0	0	0	0.001	0	0	0	0	3
188	1329	0	2.10374576	0	0	0	0	0	0.001	0	0	0	0	3
189	1336	0	2.1149359	0	0	0	0	0	0.001	0	0	0	0	3
190	1343	0	2.12612604	0	0	0	0	0	0.001	0	0	0	0	3
191	1350	0	2.13731617	0	0	0	0	0	0.001	0	0	0	0	3
192	1357	0	2.14850631	0	0	0	0	0	0.001	0	0	0	0	3
193	1364	0	2.15969645	0	0	0	0	0	0.001	0	0	0	0	3
194	1371	0	2.17088659	0	0	0	0	0	0.001	0	0	0	0	3
195	1378	0	2.18207672	0	0	0	0	0	0.001	0	0	0	0	3
196	1385	0	2.19326686	0	0	0	0	0	0.001	0	0	0	0	3
197	1392	0	2.204457	0	0	0	0	0	0.001	0	0	0	0	3
198	1398	0	2.21564713	0	0	0	0	0	0.001	0	0	0	0	3
199	1405	0	2.22683727	0	0	0	0	0	0.001	0	0	0	0	3
200	1412	0	2.23802741	0	0	0	0	0	0.001	0	0	0	0	3
201	1421	0	2.24921754	0	0	0	0	0	0.001	0	0	0	0	3
202	1428	0	2.26040768	0	0	0	0	0	0.001	0	0	0	0	3
203	1436	0	2.27159782	0	0	0	0	0	0.001	0	0	0	0	3
204	1442	0	2.28278796	0	0	0	0	0	0.001	0	0	0	0	3
205	1449	0	2.29397809	0	0	0	0	0	0.001	0	0	0	0	3
206	1456	0	2.30516823	0	0	0	0	0	0.001	0	0	0	0	3
207	1463	0	2.31635837	0	0	0	0	0	0.001	0	0	0	0	3
208	1470	0	2.3275485	0	0	0	0	0	0.001	0	0	0	0	3
209	1477	0	2.33873864	0	0	0	0	0	0.001	0	0	0	0	3
210	1484	0	2.34992878	0	0	0	0	0	0.001	0	0	0	0	3
211	1491	0	2.36111891	0	0	0	0	0	0.001	0	0	0	0	3
212	1498	0	2.37230905	0	0	0	0	0	0.001	0	0	0	0	3
213	1505	0	2.38349919	0	0	0	0	0	0.001	0	0	0	0	3
214	1512	0	2.39468933	0	0	0	0	0	0.001	0	0	0	0	3
215	1519	0	2.40587946	0	0	0	0	0	0.001	0	0	0	0	3
216	1526	0	2.4170696	0	0	0	0	0	0.001	0	0	0	0	3
217	1532	0	2.42825974	0	0	0	0	0	0.001	0	0	0	0	3
218	1540	0	2.43944987	0	0	0	0	0	0.001	0	0	0	0	3
219	1547	0	2.45064001	0	0	0	0	0	0.001	0	0	0	0	3
220	1553	0	2.46183015	0	0	0	0	0	0.001	0	0	0	0	3
221	1560	0	2.47302029	0	0	0	0	0	0.001	0	0	0	0	3
222	1567	0	2.48421042	0	0	0	0	0	0.001	0	0	0	0	3
223	1574	0	2.49540056	0	0	0	0	0	0.001	0	0	0	0	3
224	1581	0	2.5065907	0	0	0	0	0	0.001	0	0	0	0	3
225	1588	0	2.51778083	0	0	0	0	0	0.001	0	0	0	0	3
226	1595	0	2.52897097	0	0	0	0	0	0.001	0	0	0	0	3
227	1602	0	2.54016111	0	0	0	0	0	0.001	0	0	0	0	3
228	1609	0	2.55135124	0	0	0	0	0	0.001	0	0	0	0	3
229	1616	0	2.56254138	0	0	0	0	0	0.001	0	0	0	0	3
230	1623	0	2.57373152	0	0	0	0	0	0.001	0	0	0	0	3
231	1630	0	2.58492166	0	0	0	0	0	0.001	0	0	0	0	3
232	1636	0	2.59611179	0	0	0	0	0	0.001	0	0	0	0	3
233	1643	0	2.60730193	0	0	0	0	0	0.001	0	0	0	0	3
234	1650	0	2.61849207	0	0	0	0	0	0.001	0	0	0	0	3
235	1657	0	2.6296822	0	0	0	0	0	0.001	0	0	0	0	3
236	1664	0	2.64087234	0	0	0	0	0	0.001	0	0	0	0	3
237	1671	0	2.65206248	0	0	0	0	0	0.001	0	0	0	0	3
238	1678	0	2.66325261	0	0	0	0	0	0.001	0	0	0	0	3
239	1685	0	2.67444275	0	0	0	0	0	0.001	0	0	0	0	3
240	1692	0	2.68563289	0	0	0	0	0	0.001	0	0	0	0	3
241	1699	0	2.69682303	0	0	0	0	0	0.001	0	0	0	0	3
242	1706	0	2.70801316	0	0	0	0	0	0.001	0	0	0	0	3
243	1713	0	2.7192033	0	0	0	0	0	0.001	0	0	0	0	3
244	1719	0	2.73039344	0	0	0	0	0	0.001	0	0	0	0	3
245	1726	0	2.74158357	0	0	0	0	0	0.001	0	0	0	0	3
246	1733	0	2.75277371	0	0	0	0	0	0.001	0	0	0	0	3
247	1740	0	2.76396385	0	0	0	0	0	0.001	0	0	0	0	3
248	1747	0	2.77515399	0	0	0	0	0	0.001	0	0	0	0	3
249	1754	0	2.78634412	0	0	0	0	0	0.001	0	0	0	0	3
250	1761	0	2.79753426	0	0	0	0	0	0.001	0	0	0	0	3
251	1768	0	2.8087244	0	0	0	0	0	0.001	0	0	0	0	3
252	1775	0	2.81991453	0	0	0	0	0	0.001	0	0	0	0	3
253	1782	0	2.83110467	0	0	0	0	0	0.001	0	0	0	0	3
254	1788	0	2.84229481	0	0	0	0	0	0.001	0	0	0	0	3
255	1795	0	2.85348494	0	0	0	0	0	0.001	0	0	0	0	3
256	1802	0	2.86467508	0	0	0	0	0	0.001	0	0	0	0	3
257	1809	0	2.87586522	0	0	0	0	0	0.001	0	0	0	0	3
258	1816	0	2.88705536	0	0	0	0	0	0.001	0	0	0	0	3
259	1823	0	2.89824549	0	0	0	0	0	0.001	0	0	0	0	3
260	1830	0	2.90943563	0	0	0	0	0	0.001	0	0	0	0	3
261	1837	0	2.92062577	0	0	0	0	0	0.001	0	0	0	0	3
262	1844	0	2.9318159	0	0	0	0	0	0.001	0	0	0	0	3
263	1851	0	2.94300604	0	0	0	0	0	0.001	0	0	0	0	3
264	1858	0	2.95419618	0	0	0	0	0	0.001	0	0	0	0	3
265	1865	0	2.96538631	0	0	0	0	0	0.001	0	0	0	0	3
266	1872	0	2.97657645	0	0	0	0	0	0.001	0	0	0	0	3
267	1879	0	2.98776659	0	0	0	0	0	0.001	0	0	0	0	3
268	1886	0	2.99895673	0	0	0	0	0	0.001	0	0	0	0	3
269	1893	0	3.01014686	0	0	0	0	0	0.001	0	0	0	0	3
270	1899	0	3.021337	0	0	0	0	0	0.001	0	0	0	0	3
271	1906	0	3.03252714	0	0	0	0	0	0.001	0	0	0	0	3
272	1913	0	3.04371727	0	0	0	0	0	0.001	0	0	0	0	3
273	1920	0	3.05490741	0	0	0	0	0	0.001	0	0	0	0	3
274	1927	0	3.06609755	0	0	0	0	0	0.001	0	0	0	0	3
275	1934	0	3.07728769	0	0	0	0	0	0.001	0	0	0	0	3
276	1941	0	3.08847782	0	0	0	0	0	0.001	0	0	0	0	3
277	1948	0	3.09966796	0	0	0	0	0	0.001	0	0	0	0	3
278	1955	0	3.1108581	0	0	0	0	0	0.001	0	0	0	0	3
279	1962	0	3.12204823	0	0	0	0	0	0.001	0	0	0	0	3
280	1969	0	3.13323837	0	0	0	0	0	0.001	0	0	0	0	3
281	1976	0	3.14442851	0	0	0	0	0	0.001	0	0	0	0	3
282	1983	0	3.15561864	0	0	0	0	0	0.001	0	0	0	0	3
283	1990	0	3.16680878	0	0	0	0	0	0.001	0	0	0	0	3
284	1996	0	3.17799892	0	0	0	0	0	0.001	0	0	0	0	3
285	2003	0	3.18918906	0	0	0	0	0	0.001	0	0	0	0	3
286	2010	0	3.20037919	0	0	0	0	0	0.001	0	0	0	0	3
287	2017	0	3.21156933	0	0	0	0	0	0.001	0	0	0	0	3
288	2024	0	3.22275947	0	0	0	0	0	0.001	0	0	0	0	3
289	2031	0	3.2339496	0	0	0	0	0	0.001	0	0	0	0	3
290	2038	0	3.24513974	0	0	0	0	0	0.001	0	0	0	0	3
291	2044	0	3.25632988	0	0	0	0	0	0.001	0	0	0	0	3
292	2051	0	3.26752001	0	0	0	0	0	0.001	0	0	0	0	3
293	2058	0	3.27871015	0	0	0	0	0	0.001	0	0	0	0	3
294	2065	0	3.28990029	0	0	0	0	0	0.001	0	0	0	0	3
295	2072	0	3.30109043	0	0	0	0	0	0.001	0	0	0	0	3
296	2079	0	3.31228056	0	0	0	0	0	0.001	0	0	0	0	3
297	2086	0	3.3234707	0	0	0	0	0	0.001	0	0	0	0	3
298	2092	0	3.33466084	0	0	0	0	0	0.001	0	0	0	0	3
299	2100	0	3.34585097	0	0	0	0	0	0.001	0	0	0	0	3
300	2106	0	3.35704111	0	0	0	0	0	0.001	0	0	0	0	3
301	2115	0	3.36823125	0	0	0	0	0	0.001	0	0	0	0	3
302	2121	0	3.37942139	0	0	0	0	0	0.001	0	0	0	0	3
303	2128	0	3.39061152	0	0	0	0	0	0.001	0	0	0	0	3
304	2135	0	3.40180166	0	0	0	0	0	0.001	0	0	0	0	3
305	2142	0	3.4129918	0	0	0	0	0	0.001	0	0	0	0	3
306	2149	0	3.42418193	0	0	0	0	0	0.001	0	0	0	0	3
307	2156	0	3.43537207	0	0	0	0	0	0.001	0	0	0	0	3
308	2163	0	3.44656221	0	0	0	0	0	0.001	0	0	0	0	3
309	2170	0	3.45775234	0	0	0	0	0	0.001	0	0	0	0	3
310	2177	0	3.46894248	0	0	0	0	0	0.001	0	0	0	0	3
311	2184	0	3.48013262	0	0	0	0	0	0.001	0	0	0	0	3
312	2190	0	3.49132276	0	0	0	0	0	0.001	0	0	0	0	3
313	2197	0	3.50251289	0	0	0	0	0	0.001	0	0	0	0	3
314	2204	0	3.51370303	0	0	0	0	0	0.001	0	0	0	0	3
315	2211	0	3.52489317	0	0	0	0	0	0.001	0	0	0	0	3
316	2218	0	3.5360833	0	0	0	0	0	0.001	0	0	0	0	3
317	2225	0	3.54727344	0	0	0	0	0	0.001	0	0	0	0	3
318	2232	0	3.55846358	0	0	0	0	0	0.001	0	0	0	0	3
319	2239	0	3.56965371	0	0	0	0	0	0.001	0	0	0	0	3
320	2246	0	3.58084385	0	0	0	0	0	0.001	0	0	0	0	3
321	2252	0	3.59203399	0	0	0	0	0	0.001	0	0	0	0	3
322	2259	0	3.60322413	0	0	0	0	0	0.001	0	0	0	0	3
323	2266	0	3.61441426	0	0	0	0	0	0.001	0	0	0	0	3
324	2273	0	3.6256044	0	0	0	0	0	0.001	0	0	0	0	3
325	2280	0	3.63679454	0	0	0	0	0	0.001	0	0	0	0	3
326	2287	0	3.64798467	0	0	0	0	0	0.001	0	0	0	0	3
327	2294	0	3.65917481	0	0	0	0	0	0.001	0	0	0	0	3
328	2301	0	3.67036495	0	0	0	0	0	0.001	0	0	0	0	3
329	2308	0	3.68155509	0	0	0	0	0	0.001	0	0	0	0	3
330	2314	0	3.69274522	0	0	0	0	0	0.001	0	0	0	0	3
331	2321	0	3.70393536	0	0	0	0	0	0.001	0	0	0	0	3
332	2328	0	3.7151255	0	0	0	0	0	0.001	0	0	0	0	3
333	2335	0	3.72631563	0	0	0	0	0	0.001	0	0	0	0	3
334	2342	0	3.73750577	0	0	0	0	0	0.001	0	0	0	0	3
335	2349	0	3.74869591	0	0	0	0	0	0.001	0	0	0	0	3
336	2356	0	3.75988604	0	0	0	0	0	0.001	0	0	0	0	3
337	2363	0	3.77107618	0	0	0	0	0	0.001	0	0	0	0	3
338	2370	0	3.78226632	0	0	0	0	0	0.001	0	0	0	0	3
339	2377	0	3.79345646	0	0	0	0	0	0.001	0	0	0	0	3
340	2384	0	3.80464659	0	0	0	0	0	0.001	0	0	0	0	3
341	2391	0	3.81583673	0	0	0	0	0	0.001	0	0	0	0	3
342	2397	0	3.82702687	0	0	0	0	0	0.001	0	0	0	0	3
343	2404	0	3.838217	0	0	0	0	0	0.001	0	0	0	0	3
344	2411	0	3.84940714	0	0	0	0	0	0.001	0	0	0	0	3
345	2418	0	3.86059728	0	0	0	0	0	0.001	0	0	0	0	3
346	2425	0	3.87178741	0	0	0	0	0	0.001	0	0	0	0	3
347	2432	0	3.88297755	0	0	0	0	0	0.001	0	0	0	0	3
348	2439	0	3.89416769	0	0	0	0	0	0.001	0	0	0	0	3
349	2446	0	3.90535783	0	0	0	0	0	0.001	0	0	0	0	3
350	2453	0	3.91654796	0	0	0	0	0	0.001	0	0	0	0	3
351	2460	0	3.9277381	0	0	0	0	0	0.001	0	0	0	0	3
352	2467	0	3.93892824	0	0	0	0	0	0.001	0	0	0	0	3
353	2474	0	3.95011837	0	0	0	0	0	0.001	0	0	0	0	3
354	2481	0	3.96130851	0	0	0	0	0	0.001	0	0	0	0	3
355	2488	0	3.97249865	0	0	0	0	0	0.001	0	0	0	0	3
356	2495	0	3.98368879	0	0	0	0	0	0.001	0	0	0	0	3
357	2502	0	3.99487892	0	0	0	0	0	0.001	0	0	0	0	3
358	2509	0	4.00606906	0	0	0	0	0	0.001	0	0	0	0	3
